idshopi,id_variant,sku_variant,barcode_shopi,inventoryquantity_shopi,inventoryitemid,inventorylevelsid,id_products,title_shopi,tags_shopi,vendor_shopi,status_shopi,published_shopi,sku_shopi,sku,tags,sku.1,margen_db,costo_db,margen_comparacion_db,duplicate,pausa,precio,precio_comparacion
7602900598950,gid://shopify/ProductVariant/45152047431957,C345,0,0,gid://shopify/InventoryItem/47204968464661,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204968464661,7602900598950,"Llave Lavamanos Push, Dispensador De Toallas.",['CON_IMAGEN'],Pamo,DRAFT,DRAFT,C345,C345,MercadoLibre,C345,0.0,0,0.0,,,0.0,0.0
8120352276757,gid://shopify/ProductVariant/45152076235029,PAMO_F10036,PAMO_F10036,0,gid://shopify/InventoryItem/47204997267733,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204997267733,8120352276757,Grifería Lavamanos Monocontrol Poste Bajo,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,DRAFT,DRAFT,PAMO_F10036,PAMO_F10036,MercadoLibre,PAMO_F10036,0.0,0,0.0,,,0.0,0.0
8545616068885,gid://shopify/ProductVariant/46227371622677,PAMO_F10008,PAMO_F10008,0,gid://shopify/InventoryItem/48281593807125,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281593807125,8545616068885,GRB GRIFERÍA MNC BAJO CUADRADO,[],PAMO,DRAFT,DRAFT,PAMO_F10008,PAMO_F10008,MercadoLibre,PAMO_F10008,0.0,0,0.0,,,0.0,0.0
8120304369941,gid://shopify/ProductVariant/47926264627477,YW350,7707180676812,0,gid://shopify/InventoryItem/49903489810709,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903489810709,8120304369941,Grifo Lavamanos Poste Bajo Cromado.,"['BAÑOS', 'CON_IMAGEN', 'GRIFERÍA LAVAMANOS', 'MONOCONTROL']",BOCCHERINI,ACTIVE,ACTIVE,YW350,YW350,MercadoLibre,YW350,0.0,0,0.0,,,0.0,0.0
8545594704149,gid://shopify/ProductVariant/47926222029077,EMC,7707180672302,38,gid://shopify/InventoryItem/49903447245077,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903447245077,8545594704149,Economizador Llave Lavaplatos/Manos,"['ACCESORIOS', 'COCINA', 'Plomería']",BOCCHERINI,ACTIVE,ACTIVE,EMC,EMC,MercadoLibre,EMC,0.0,0,0.0,,,0.0,0.0
7602893357222,gid://shopify/ProductVariant/47926260564245,POC,7707180674665,5,gid://shopify/InventoryItem/49903485780245,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903485780245,7602893357222,Grifería Para Orinal Tipo Push,"['GRIFERÍA DE PUSH', 'GRIFERÍA SANITARIA', 'Institucional', 'PLOMERÍA']",BOCCHERINI,ACTIVE,ACTIVE,POC,POC,MercadoLibre,POC,0.0,0,0.0,,,0.0,0.0
8096213106965,gid://shopify/ProductVariant/47926219276565,YW024,7707180675990,7,gid://shopify/InventoryItem/49903444459797,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903444459797,8096213106965,"Dispensador Cromado De Jabón, Champú Y Gel 550ml","['Accesorios Baño', 'Baños', 'DISPENSADORES', 'Institucional', 'JABON LIQUIDO']",BOCCHERINI,ACTIVE,ACTIVE,YW024,YW024,MercadoLibre,YW024,0.0,0,0.0,,,0.0,0.0
8096191807765,gid://shopify/ProductVariant/45152065454357,KTL1449,KTL1449,1,gid://shopify/InventoryItem/47204986454293,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204986454293,8096191807765,Grifería Lavamanos Monocontrol Poste Alto Cuadrado Metalico,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,ACTIVE,ACTIVE,KTL1449,KTL1449,MercadoLibre,KTL1449,0.0,0,0.0,,,0.0,0.0
8107356717333,gid://shopify/ProductVariant/45152046022933,C350,0,0,gid://shopify/InventoryItem/47204967055637,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47204967055637,8107356717333,Grifería Monocontrol Poste Alto Cuello Curvo X,['Grifería Lavamanos'],Pamo,DRAFT,DRAFT,C350,C350,MercadoLibre,C350,0.0,0,0.0,,,0.0,0.0
8047031648533,gid://shopify/ProductVariant/47926259482901,D405,7707180671183,0,gid://shopify/InventoryItem/49903484666133,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903484666133,8047031648533,"Grifería Llave Individual De Pared, Sistema Economizador.","['BAÑOS', 'Cocina', 'Grifería Cocinas', 'GRIFERÍA LAVAMANOS', 'Monocontrol', 'SENCILLA']",BOCCHERINI,ACTIVE,ACTIVE,D405,D405,MercadoLibre,D405,0.0,0,0.0,,,0.0,0.0
8096203047189,gid://shopify/ProductVariant/47926259613973,JYN112M,7707180674696,0,gid://shopify/InventoryItem/49903484797205,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49903484797205,8096203047189,Grifería Llave Individual Para Lavamanos Aluminio Cromado,"['Baños', 'Grifería Lavamanos', 'Sencilla']",BOCCHERINI,ACTIVE,ACTIVE,JYN112M,JYN112M,MercadoLibre,JYN112M,0.0,0,0.0,,,0.0,0.0
7602813239462,gid://shopify/ProductVariant/43706091667622,KTL1805,KTL1805,0,gid://shopify/InventoryItem/45803199692966,gid://shopify/InventoryLevel/101436129446?inventory_item_id=45803199692966,7602813239462,Manguera Repuesto Para Griferia Lavaplatos Extraíble,['Accesorios Cocina'],Pamo,DRAFT,DRAFT,KTL1805,KTL1805,MercadoLibre,KTL1805,0.0,0,0.0,,,0.0,0.0
8096214548757,gid://shopify/ProductVariant/45037982679317,BYJ-C036,BYJ-C036,0,gid://shopify/InventoryItem/47090704449813,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47090704449813,8096214548757,Desagüe Lavamanos De Acero Inoxidable,['Plomería'],Pamo,DRAFT,DRAFT,BYJ-C036,BYJ-C036,MercadoLibre,BYJ-C036,0.0,0,0.0,,,0.0,0.0
8120331895061,gid://shopify/ProductVariant/44341599568149,KTL1448,KTL1448,27,gid://shopify/InventoryItem/46393501679893,gid://shopify/InventoryLevel/101436129446?inventory_item_id=46393501679893,8120331895061,Grifería Para Lavamanos Agua Fría Poste Alto Metálica Slim,"['Baños', 'Grifería Lavamanos', 'Monocontrol']",Pamo,ACTIVE,ACTIVE,KTL1448,KTL1448,MercadoLibre,KTL1448,0.0,0,0.0,,,0.0,0.0
7602829263014,gid://shopify/ProductVariant/45250008940821,RB-1960-11S,7703231011977,3,gid://shopify/InventoryItem/47302699417877,gid://shopify/InventoryLevel/101436129446?inventory_item_id=47302699417877,7602829263014,Válvula Desviadora Para Duchas Teléfono O Manuales.,['CON_IMAGEN'],Pamo,ACTIVE,ACTIVE,RB-1960-11S,RB-1960-11S,MercadoLibre,RB-1960-11S,0.0,0,0.0,,,0.0,0.0
8545609711893,gid://shopify/ProductVariant/46227354976533,LCAP30,LCAP30,13,gid://shopify/InventoryItem/48281575489813,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281575489813,8545609711893,Lavamanos Acero Inoxidable 33X30 Cm Plataforma,['Institucional'],PAMO,ACTIVE,ACTIVE,LCAP30,LCAP30,MercadoLibre,LCAP30,0.0,0,0.0,,,0.0,0.0
8545545257237,gid://shopify/ProductVariant/46227185533205,01-1502-11,01-1502-11,-4,gid://shopify/InventoryItem/48281407717653,gid://shopify/InventoryLevel/101436129446?inventory_item_id=48281407717653,8545545257237,"Grifería Mezclador Lavamanos 4"" Piana","['grifería', 'Grifería Lavamanos']",PAMO,ACTIVE,ACTIVE,01-1502-11,01-1502-11,MercadoLibre,01-1502-11,0.0,0,0.0,,,0.0,0.0
8545611317525,gid://shopify/ProductVariant/47957935620373,LLA-C38,MET-026,22,gid://shopify/InventoryItem/49935712256277,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49935712256277,8545611317525,Grifería Vigo Push Bronce Cromado,"['Baños', 'Grifería Lavamanos', 'Grifería Push', 'INSTITUCIONAL', 'PUSH']",FERMETAL,ACTIVE,ACTIVE,LLA-C38,LLA-C38,MercadoLibre,LLA-C38,0.0,0,0.0,,,0.0,0.0
8949892350229,gid://shopify/ProductVariant/47957936668949,LLA-C38-3,LLA-C38-3,16,gid://shopify/InventoryItem/49935713304853,gid://shopify/InventoryLevel/101436129446?inventory_item_id=49935713304853,8949892350229,Llave De Lavamanos Push Pared Acero Inoxidable Cromado,"['Grifería Push', 'Institucional', 'PUSH']",FERMETAL,ACTIVE,ACTIVE,LLA-C38-3,LLA-C38-3,MercadoLibre,LLA-C38-3,0.0,0,0.0,,,0.0,0.0
